標題,發布時間
【山域事故】【110年12月31日南投縣信義鄉「觀高營地」1男跌倒頭部受傷，1月1日空勤直升機及本署特搜共勤成功吊掛送醫】,111-01-02
【山域事故】【1日南投縣仁愛鄉「卓社大山」1女高山症，空勤直升機及本署特搜共勤成功吊掛送醫】,111-01-02
【山域事故】【110年12月31日臺中市和平區「油婆蘭營地」，1女左小腿骨折，111年1月2日空勤直升機及本署特搜共勤成功吊掛送醫】,111-01-02
【山域事故】【續110年12月13日臺中市和平區「北一段」1男墜谷死亡，111年1月2日空勤直升機及本署特搜共勤成功吊掛大體】,111-01-02
【瓦斯氣爆】【2日臺中市北區梅亭街和永興街的交叉路口瓦斯氣爆，1人輕傷送醫】,111-01-02
【住宅火災】【2日臺北市內湖區內湖路2段住宅火災，己撲滅，無傷亡】,111-01-02
【鐵皮屋火災】【2日金門縣金沙鎮田埔水庫附近鐵皮屋火災，已撲滅，無傷亡】,111-01-02
【資源回收場火災】【3日桃園市中壢區圓光路2段資源回收場火災，已撲滅，無傷亡】,111-01-03
【工廠火災】【6日高雄市林園區「中油林園廠」火災，已撲滅，1人受傷送醫】,111-01-07
【住宅火災】【7日彰化縣彰化市住宅火災，已撲滅，1人無生命徵象、2人受傷送醫】,111-01-07
​【地震】【8日05:12臺中市政府東北東方17.7公里(臺中市東勢區)發生芮氏規模4.5地震，無災情】,111-01-08
​【汽修廠火災】【7日臺北市大安區安和路2段1汽修廠火災，已撲滅，無傷亡】,111-01-08
​【木材工廠火災】【8日臺北市士林區延平北路8段1木材工廠火災，已撲滅，無傷亡】,111-01-08
【住宅火災】【8日新北市淡水區住宅火災，已撲滅，2人無生命徵象】,111-01-08
【輪胎行火災】【8日屏東縣九如鄉火災，已撲滅，1人受傷送醫】,111-01-08
【住宅火災】【8日臺南市新化區正新路住宅火災，已撲滅，無傷亡】,111-01-08
【汽車火災】【8日國道1號南向66.1K自小客車火災，已撲滅，車內1焦屍(身分待查)】,111-01-09
【木材工廠火災】【9日南投縣草屯鎮富頂路一段木材工廠火災，已撲滅，無傷亡】,111-01-10
【住宅火災】【10日嘉義縣民雄鄉西安路住宅火災，已撲滅，無傷亡】,111-01-10
【一氧化碳中毒】【10日臺中市西屯區2人一氧化碳中毒身體不適送醫】,111-01-10
【住宅火災】【10日臺南市永康區新興街3連棟住宅火災，已撲滅，無傷亡】,111-01-10
【貨櫃火災】【10日桃園市龍潭區梅龍三街貨櫃堆火災，已撲滅，無傷亡】,111-01-10
【工廠火災】【10日彰化縣田尾鄉仁里村某塑膠工廠火災，已撲滅，無傷亡】,111-01-10
【住宅火災】【10日新北市淡水區中山路1住宅火災，已撲滅，1無生命徵象送醫】,111-01-10
【倉庫火災】【11日彰化縣線西鄉倉庫火災，已撲滅，無傷亡】,111-01-11
【倉庫火災】【11日桃園市新屋區倉庫火災，已撲滅，無傷亡】,111-01-11
【複合式餐廳火災】【11日臺南市南區複合式餐廳火災，已撲滅，無傷亡】,111-01-11
【建築工地火災】【12日屏東縣屏東市建築工地火災，已撲滅，無傷亡】,111-01-13
​【山域事故】【13日花蓮縣萬榮鄉「二子山溫泉」一行11人隊伍，計6人被蜂螫，其中5人已送醫，空勤直升機及本署特搜共勤成功吊掛送醫】,111-01-13
​【住宅火災】【13日花蓮縣玉里鎮1住宅火災，已撲滅，無傷亡】,111-01-13
​【住宅火災】【13日臺南市善化區1住宅火災，已撲滅，1昏迷送醫】,111-01-13
【一氧化碳中毒】【15日桃園市蘆竹區4人一氧化碳中毒身體不適送醫】,111-01-15
 【住宅火災】【15日花蓮縣光復鄉1住宅火災，已撲滅，無傷亡】,111-01-15
【住宅火災】【15日新北市板橋區住宅火災，已撲滅，無傷亡】,111-01-15
【職業災害】【高雄港洲際貨櫃中心「華運工地」事故，救出受困8人送醫，其中1人送醫後宣告死亡】,111-01-15
【住宅火災】【15日新北市板橋區住宅火災，已撲滅，無傷亡】,111-01-16
【職業災害】【15日高雄港洲際貨櫃中心「華運工地」事故，救出受困8人送醫，其中2人送醫後宣告死亡】,111-01-16
【工廠火災】【15日新竹縣湖口鄉光復北路「致佳科技」火災，已撲滅，無傷亡】,111-01-16
​【地震】【1月16日16:15花蓮縣政府東北東方66.5公里(臺灣東部海域)發生芮氏規模5.5地震，無災情】,111-01-17
​【住宅火災】【16日臺東縣金峰鄉住宅火災，已撲滅，1男焦屍】,111-01-17
​【工廠火災】【16日新北市樹林區味王街工廠火災，已撲滅，無傷亡】,111-01-17
​【住宅火災】【17日桃園市大園區大觀路住宅火災，已撲滅，2焦屍】,111-01-17
【工廠火災】【17日臺中市霧峰區五福路工廠火災，已撲滅，無傷亡】,111-01-17
【汽車火災】【17日臺北市士林區延平北路某空地汽車火災，已撲滅，無傷亡】,111-01-17
